链接,赞,转发,评论,时间,内容概要
http://m.weibo.com/2460997447/EfoHhmOaa,255498,79452,74746,10月31日 17:50?来自微博 weibo.com,papi酱的周一放送——为什么你的女盆友不喜欢你玩游戏？做一个“游戏寡妇”到底是一种怎样的体验？本期视频均取材自真实事件，游戏寡妇的心路历程总是惊人的相似，请各位用心感受[微笑（祝你们周一&一周愉快啦！比心[心papi酱的秒拍视频
http://m.weibo.com/2460997447/ElurPAvNC,12091,2770,1176,今天 19:30?来自六角形的iPhone,长颈鹿李光洙的逗比日常，@张猫要练嘴皮子 带你歪说新的下饭神剧《心里的声音》！赵石的笑点都在这里了！每集时间就十来分钟，完全是下饭的首选啊！作为看韩综的我，已经被笑死了！[笑cry[笑cry张猫要练嘴皮子的秒拍视频
http://m.weibo.com/2460997447/ElkmCF1XK,59593,69265,12312,12月09日 17:50?来自微博weibo.com,papi酱不定期更新的日常——转发送全套噢！！！有一些朋友很不理智啊，会因为玩具可爱就去买肯德基。我就是这样一个不理智的有着少女心的老阿姨??。。。转发这条视频，七天后抽出一个幼稚鬼送ta一整套玩具！（我会告诉你们我已经集齐全套了吗（周末愉快~比心[心 papi酱的秒拍视频
http://m.weibo.com/2460997447/El27N0ilc,25681,563,2501,12月07日 19:24?来自吟诗的iPhone,做个小调查：你觉得男生最帅瞬间是_____？在评论区把照片PO出来吧~
http://m.weibo.com/2460997447/EkTxZ8xwY,42578,1342,6752,12月06日 21:33?来自主人超美的iPhone,谁来给大咪配个“心里的声音”... 秒拍视频 .
http://m.weibo.com/2460997447/EkSeI6U9N,18330,1493,1261,12月06日 18:13?来自九头身的iPhone,宇宙内衣大品牌维密秀，每年都在轰炸大家的神经，开场的中国秀和越来越多的中国模特，真的是老外喜欢中国face吗？多年被维密洗脑的吃瓜二人组@花瓶与逗比 为大家深扒《维秘的圈粉套路》[微笑，说到底还是一门生意呀~~papitube的秒拍视频
http://m.weibo.com/2460997447/EkIIIbUCf,89720,18696,9791,12月05日 18:00?来自微博weibo.com,?papi酱的周一放送——你对外人这么好，你家里人知道吗？有一些人，对远在天边的人，如春天般温暖；对待最亲密的人，如严冬般无情。你是这样的人吗？反正我不是（祝大家周一&一周愉快，让我们跟对的人，说对的话~比心（硬广让生活更美好：http://t.cn/Rfgyz8K @哒哒英语DaDaABC papi酱的秒拍视频
http://m.weibo.com/2460997447/Ek8pq9US6,75044,7178,3972,12月01日 21:33?来自妈你咋了的iPhone,《如果你的家长是这样的画风...》视频中，由于与主题不符，或时长等原因被我删掉的部分片段。（仅供一乐，比心[爱心? 秒拍视频 .
http://m.weibo.com/2460997447/EjXCtuvcw,21914,7172,1498,11月30日 18:05?来自悄悄关注的iPhone,今天@诸葛齉齉 3分钟告诉你微博中你不知道的特别功能！[doge流量不够还能尽情刷刷刷？观光EX微博的正确姿势是什么？你知道微博还有小彩蛋吗？一系列实用的小功能来学习一下吧吧！papitube的秒拍视频
http://m.weibo.com/2460997447/EjWeMuWF0,43699,494,7850,11月30日 14:34?来自派件中的iPhone,??????????????????????超级快递是一部非常非常用心的作品，是我第一次主演的动作喜剧。还有很荣幸能和跑酷之父大卫贝尔（他主演的B13区超级无敌牛）合作。还有美丽的宋智孝。还有极具喜剧才华的肖央，还有超级福将赵英俊的音乐。还有我的同学非常优秀有才华的导演宋啸。希望大家能支持这个电影！一定让你在电影院笑到爆炸！??全文
http://m.weibo.com/2460997447/EjOcyFP0A,20379,376,806,11月29日 18:07?来自招兵买马的iPhone,papitube招募啦！无论你是美食、时尚、数码达人、健身大牛，还是灵魂画手、乐迷、影迷、书迷、八卦搬运工！！！恭喜你们找到组织啦！！！papitube需要你！！！上传3到5分钟的原创短视频到秒拍，添加接头暗号#papitube来搞#(手动高亮——搞事情的搞！！！),截止日期为圣诞节。活动传送门：?全文
http://m.weibo.com/2460997447/EjENSmKxb,148707,27269,18979,11月28日 18:11?来自我爱爸妈iPhone,papi酱的周一放送——如果你的家长是这种画风，你受得了吗？是惊喜还是惊吓？现在知道你爸妈为什么要管着你，为什么要让你好好学习，要让你去学、英、文、了吧！（此处有硬广）@哒哒英语DaDaABC http://t.cn/RfYZqWX（祝大家周一愉快，学习、工作中，都要不遗余力地浑水摸鱼噢~  papi酱的秒拍视频
http://m.weibo.com/2460997447/Ej5bm4sNd,113930,2240,6155,11月24日 23:30?来自不睡觉的iPhone,给各位分享一个经验：失眠的时候，放下手机调整呼吸，闭上双眼，认真思考一个问题——睡觉的时候眼球到底应该放在什么位置。然后你就一整夜都睡不着啦！
http://m.weibo.com/2460997447/Ej32xvmxo,74372,6682,6344,11月24日 18:03?来自寡妇联盟的iPhone,《游戏寡妇》那期视频由于时长&其他原因被我删除的段落。以后各种视频的删除段落也会不定期放送，敬请（不用）特别期待，比心[爱心?（今天的我，也是一个“骄傲”的游戏寡妇??? 秒拍视频 .
